""	"d13C_bget_AVE"	"d13C_bget_SD"	"d13C_bget_n"	"d13C_totet_AVE"	"d13C_totet_SD"	"d13C_totet_n"	"conc_totet_AVE"	"conc_totet_SD"	"MC_AVE"	"MC_SD"
"MM46"	10.56	1.08	3	2.35	NA	1	72.5	0.5	14.4	14.4
"EXP5-32"	9.31	0.09	2	2.04	0.81	2	121.4	1.9	16.5	23.1
"EXP5-21"	9.31	0.09	2	3.64	0.44	2	36.2	1.9	36.3	15.4
"EXP8-43"	8.78	0.3	2	-0.06	NA	1	508.2	1.9	-23.3	16.6
"EXP8-09"	8.78	0.3	2	6.68	NA	1	21.4	1.9	89.3	15.2
"EXP1-7C_Mo"	9.49	0.08	2	0.99	NA	1	23.9	0.5	-18.9	16.3
"EXP5-19"	9.31	0.09	2	3.12	NA	1	19.6	1.9	18.9	14.3
"EXP1-7B_CTRL"	9.49	0.08	2	3.26	NA	1	11.2	0.5	9.8	15
"EXP1-8A_CTRL"	9.49	0.08	2	3.41	NA	1	10.4	0.5	6.7	15.2
"EXP8-69"	8.78	0.3	2	11.36	NA	1	21.7	1.9	178.4	22.9
"EXP3-NC09_Mo"	9.01	0.14	2	3.32	NA	1	30.2	0.1	28.2	14.1
"EXP5-31"	9.31	0.09	2	1.76	NA	1	132.4	1.9	6.6	14.8
"MM55"	10.56	1.08	3	3.05	NA	1	31	0.5	21.2	14.2
"EXP5-29"	9.31	0.09	2	1.7	NA	1	151.3	1.9	5.8	14.8
"MM56"	10.56	1.08	3	3.93	NA	1	29.4	0.5	37	13.9
"EXP8-44"	8.78	0.3	2	-0.41	NA	1	386.2	1.9	-29.5	17
"EXP1-4A_CTRL"	9.49	0.08	2	2.84	NA	1	11.6	0.5	1.5	15.3
"EXP5-20"	9.31	0.09	2	3.07	NA	1	17.1	1.9	9.2	14.9
"EXP5-33"	9.31	0.09	2	1.8	NA	1	163.3	1.9	7.7	14.7
"EXP5-46"	9.31	0.09	2	3.82	NA	1	10.6	1.9	23.1	14.5
"EXP5-08"	9.31	0.09	2	3.7	NA	1	10	1.9	18	14.7
"EXP1-5C_CTRL"	9.49	0.08	2	2.93	NA	1	11.2	0.5	4	15.3
"EXP5-22"	9.31	0.09	2	1.95	NA	1	32.2	1.9	3.2	14.9
"EXP1-5A_CTRL"	9.49	0.08	2	3.5	NA	1	15.6	0.5	22	14.3
"EXP1-3A_CTRL"	9.49	0.08	2	4.95	NA	1	10.1	0.5	42.7	14
"EXP1-7A_CTRL"	9.49	0.08	2	1.29	NA	1	23.2	0.5	-14.4	16
"EXP9C-06"	9.27	NA	1	7.73	NA	1	10.8	0.7	104.1	16.2
"EXP3-NC09_CTRL"	9.01	0.14	2	3.58	NA	1	28.3	0.1	32.2	14
"EXP1-5B_Mo"	9.49	0.08	2	2.84	NA	1	12.1	0.5	3.9	15.1
"EXP1-8C_Mo"	9.49	0.08	2	3.29	NA	1	11.1	0.5	5.7	15.2
"EXP8-46"	8.78	0.3	2	3.12	NA	1	506.9	1.9	31.7	14
"EXP6-25"	8.55	0.49	2	2.13	NA	1	2024.3	6.5	14.9	14.4
"EXP6-21"	8.55	0.49	2	1.74	NA	1	1966.1	6.5	8.2	14.7
"EXP6-42"	8.55	0.49	2	-0.09	NA	1	332.6	6.5	-24.1	16.6
"EXP1-8A_Mo"	9.49	0.08	2	3.32	NA	1	11.3	0.5	10.3	14.9
"EXP6-45"	8.55	0.49	2	-0.36	NA	1	398.3	6.5	-28.6	17
"EXP1-4C_Mo"	9.49	0.08	2	3.04	NA	1	11.6	0.5	6.7	15.2
"EXP1-1B_CTRL"	9.49	0.08	2	3	NA	1	15.8	0.5	12.2	14.7
"EXP6-43"	8.55	0.49	2	0.24	NA	1	615	6.5	-18	16.2
"EXP3-NC02_Mo"	9.01	0.14	2	8.83	NA	1	16.4	0.1	129.8	18.1
"EXP1-3C_Mo"	9.49	0.08	2	5.51	0.2	2	11.3	0.5	57.8	14.5
"EXP1-4A_Mo"	9.49	0.08	2	2.87	NA	1	13.6	0.5	5.5	15
"EXP1-10C_Mo"	9.49	0.08	2	5.95	NA	1	18.6	0.5	73	14.5
"EXP3-NC05_Mo"	9.01	0.14	2	7.7	NA	1	18.2	0.1	107.7	16.4
"EXP6-44"	8.55	0.49	2	1.05	NA	1	703.3	6.5	-3.9	15.3
"EXP6-22"	8.55	0.49	2	2.55	NA	1	2835.3	6.5	22.2	14.2
"EXP3-SFLit01_Mo"	9.01	0.14	2	5.73	NA	1	17.6	0.1	68.8	14.4
"EXP6-24"	8.55	0.49	2	2.26	NA	1	2066.5	6.5	17.2	14.3
"EXP1-3A_Mo"	9.49	0.08	2	3.42	NA	1	13.9	0.5	18	14.5
"EXP1-7C_CTRL"	9.49	0.08	2	3.38	NA	1	17.7	0.5	22.8	14.2
"EXP3-NC02_CTRL"	9.01	0.14	2	8.09	NA	1	18.6	0.1	115.5	17
"EXP8-01"	8.78	0.3	2	4.9	NA	1	16.8	1.9	53.3	14
"EXP1-1A_Mo"	9.49	0.08	2	2.83	NA	1	18	0.5	11.6	14.6
"EXP1-4B_Mo"	9.49	0.08	2	3.11	NA	1	19.4	0.5	18.5	14.4
"EXP1-7B_Mo"	9.49	0.08	2	4.24	NA	1	10.1	0.5	28	14.4
"EXP1-8B_Mo"	9.49	0.08	2	3.8	NA	1	13.5	0.5	22.6	14.5
"EXP3-SFLit07_CTRL"	9.01	0.14	2	4.73	NA	1	10	0.1	38.9	14.2
"EXP3-SFLit04_CTRL"	9.01	0.14	2	4.97	NA	1	10.6	0.1	45.7	14.2
"EXP3-SFLit03_Mo"	9.01	0.14	2	5.96	NA	1	10.1	0.1	66.8	14.4
"EXP3-SFLit01_CTRL"	9.01	0.14	2	4.83	NA	1	14.8	0.1	48.8	14
"EXP3-WS07_Mo"	9.01	0.14	2	8.02	NA	1	11.4	0.1	112.4	16.7
"EXP3-NC05_CTRL"	9.01	0.14	2	6.99	NA	1	21.6	0.1	94.7	15.5
"EXP8-45"	8.78	0.3	2	-0.43	NA	1	2542.9	1.9	-29.1	17
"EZIAS_St4High-LL_Mo"	9.23	NA	1	0.79	NA	1	10.4	1.6	-47.9	19.5
"EZIAS_St9Low-LL_Mo"	9.23	NA	1	0.6	NA	1	10.7	1.6	-41.3	18.3
"EZIAS_St3Low-LL_CTRL"	9.23	NA	1	2.47	NA	1	12.3	1.6	-14.5	16.5
"EZIAS_St6High-LL_CTRL"	9.23	NA	1	1.05	NA	1	13.4	1.6	-34.1	17.8
"EZIAS_St6Low-LL_Mo"	9.23	NA	1	0.07	NA	1	13.6	1.6	-46.4	18.7
"EZIAS_St4Low-LL_CTRL"	9.23	NA	1	1	NA	1	17.7	1.6	-20.7	16.4
"EZIAS_St9Low-LL_CTRL"	9.23	NA	1	0.63	NA	1	19.8	1.6	-27.1	17
"EZIAS_St4Low-LL_Mo"	9.23	NA	1	1.39	NA	1	20.2	1.6	-13.6	16
"EZIAS_St5Low-LL_CTRL"	9.23	NA	1	0.86	NA	1	20.6	1.6	-23.9	16.7
"EZSF_St3a-LL_C1"	9.23	NA	1	4.23	NA	1	25.1	1.6	42.4	13.9
"EZSF_St2d-LL_C"	9.23	NA	1	12.75	NA	1	25.4	1.6	203.4	25.7
"EZIAS_St7-SO_CTRL"	9.23	NA	1	3.53	NA	1	25.8	1.6	30.3	14
"EZSF_St3b-LL_CTRL1"	9.23	NA	1	6.2	NA	1	28.1	1.6	80.9	14.8
"EZSF_St2e-LL_C"	9.23	NA	1	4.66	NA	1	29.4	1.6	53.1	14
"EZIAS_St7Low-LL_Mo"	9.23	NA	1	0.99	NA	1	30.3	1.6	-15.6	16
"EZSF_St2c-LL_CTRL"	9.23	NA	1	5.41	NA	1	31.5	1.6	66.6	14.3
"EZIAS_St5-SO_CTRL"	9.23	NA	1	2.13	NA	1	34.5	1.6	6.1	14.8
"EZSF_St2a-LL_C1"	9.23	NA	1	4.58	NA	1	36.4	1.6	51.5	14
"EZSF_St2a-LL_C2"	9.23	NA	1	3.84	NA	1	67.7	1.6	41.5	13.9
"EZSF_St3a-LL_C2"	9.23	NA	1	4.25	NA	1	96	1.6	49.4	13.9
"EZSF_St2c-LL_C"	9.23	NA	1	4.46	NA	1	138.8	1.6	53.8	14
