ID_SAMPLE	d13C_bget_AVE	d13C_bget_SD	d13C_bget_n	d13C_totet_AVE	d13C_totet_SD	d13C_totet_n	conc_totet_AVE	conc_totet_SD
EXP3-SFLit04_CTRL	9.01	0.14	2	4.97	NA	1	10.6	0.1
EXP3-SFLit03_Mo	9.01	0.14	2	5.96	NA	1	10.1	0.1
EXP3-SFLit01_CTRL	9.01	0.14	2	4.83	NA	1	14.8	0.1
EXP3-WS07_Mo	9.01	0.14	2	8.02	NA	1	11.4	0.1
EXP3-NC05_CTRL	9.01	0.14	2	6.99	NA	1	21.6	0.1
EXP8-45	8.78	0.30	2	-0.43	NA	1	2542.9	1.9
EZIAS_St4High-LL_Mo	9.23	NA	1	0.79	NA	1	10.4	1.6
EZIAS_St9Low-LL_Mo	9.23	NA	1	0.60	NA	1	10.7	1.6
EZIAS_St3Low-LL_CTRL	9.23	NA	1	2.47	NA	1	12.3	1.6
EZIAS_St6High-LL_CTRL	9.23	NA	1	1.05	NA	1	13.4	1.6
EZIAS_St6Low-LL_Mo	9.23	NA	1	0.07	NA	1	13.6	1.6
EZIAS_St4Low-LL_CTRL	9.23	NA	1	1.00	NA	1	17.7	1.6
EZIAS_St9Low-LL_CTRL	9.23	NA	1	0.63	NA	1	19.8	1.6
EZIAS_St4Low-LL_Mo	9.23	NA	1	1.39	NA	1	20.2	1.6
EZIAS_St5Low-LL_CTRL	9.23	NA	1	0.86	NA	1	20.6	1.6
EZSF_St3a-LL_C1	9.23	NA	1	4.23	NA	1	25.1	1.6
EZSF_St2d-LL_C	9.23	NA	1	12.75	NA	1	25.4	1.6
EZIAS_St7-SO_CTRL	9.23	NA	1	3.53	NA	1	25.8	1.6
EZSF_St3b-LL_CTRL1	9.23	NA	1	6.20	NA	1	28.1	1.6
EZSF_St2e-LL_C	9.23	NA	1	4.66	NA	1	29.4	1.6
EZIAS_St7Low-LL_Mo	9.23	NA	1	0.99	NA	1	30.3	1.6
EZSF_St2c-LL_CTRL	9.23	NA	1	5.41	NA	1	31.5	1.6
EZIAS_St5-SO_CTRL	9.23	NA	1	2.13	NA	1	34.5	1.6
EZSF_St2a-LL_C1	9.23	NA	1	4.58	NA	1	36.4	1.6
EZSF_St2a-LL_C2	9.23	NA	1	3.84	NA	1	67.7	1.6
EZSF_St3a-LL_C2	9.23	NA	1	4.25	NA	1	96.0	1.6
EZSF_St2c-LL_C	9.23	NA	1	4.46	NA	1	138.8	1.6


